pincode,month,age_0_5,age_5_17,age_18_greater,bio_load
500001,2025-01-01,253,132,23,408
500001,2025-05-01,4,0,0,4
500001,2025-06-01,6,1,0,7
500001,2025-07-01,2,1,0,3
500001,2025-09-01,4,1,0,5
500002,2025-04-01,5,6,0,11
500002,2025-06-01,5,1,0,6
500002,2025-09-01,4,1,1,6
500002,2025-10-01,6,0,0,6
500003,2025-03-01,3,1,0,4
500003,2025-07-01,2,1,0,3
500003,2025-12-01,2,1,0,3
500004,2025-01-01,1,0,0,1
500004,2025-02-01,2,5,0,7
500004,2025-05-01,5,1,0,6
500004,2025-07-01,1,0,0,1
500004,2025-08-01,2,2,0,4
500004,2025-10-01,5,2,0,7
500005,2025-02-01,15,4,0,19
500005,2025-03-01,7,1,0,8
500005,2025-04-01,24,5,0,29
500005,2025-06-01,10,1,0,11
500005,2025-07-01,7,4,0,11
500005,2025-09-01,13,2,0,15
500005,2025-10-01,36,5,0,41
500005,2025-12-01,6,2,0,8
500006,2025-03-01,12,2,0,14
500006,2025-04-01,16,5,0,21
500006,2025-05-01,5,3,0,8
500006,2025-08-01,10,0,0,10
500006,2025-09-01,13,4,0,17
500006,2025-10-01,1,0,0,1
500006,2025-11-01,7,3,0,10
500006,2025-12-01,9,3,0,12
500007,2025-01-01,1,0,0,1
500007,2025-03-01,1,0,0,1
500007,2025-05-01,2,0,0,2
500007,2025-10-01,1,0,0,1
500008,2025-02-01,5,5,0,10
500008,2025-03-01,14,4,0,18
500008,2025-04-01,11,10,0,21
500008,2025-07-01,9,4,0,13
500008,2025-09-01,15,3,0,18
500008,2025-11-01,13,1,3,17
500009,2025-04-01,2,1,0,3
500009,2025-10-01,1,1,0,2
500009,2025-11-01,3,0,0,3
500010,2025-01-01,0,1,0,1
500010,2025-07-01,3,1,0,4
500010,2025-11-01,3,0,0,3
500010,2025-12-01,1,1,0,2
500011,2025-01-01,2,0,0,2
500011,2025-03-01,1,2,0,3
500011,2025-06-01,4,0,0,4
500011,2025-07-01,2,0,0,2
500011,2025-08-01,1,0,0,1
500011,2025-10-01,1,0,0,1
500011,2025-11-01,1,0,0,1
500011,2025-12-01,6,2,0,8
500012,2025-01-01,1,0,0,1
500012,2025-06-01,3,0,0,3
500012,2025-07-01,0,3,0,3
500012,2025-08-01,6,0,0,6
500012,2025-10-01,3,0,0,3
500012,2025-11-01,3,0,0,3
500012,2025-12-01,4,0,0,4
500013,2025-01-01,499,127,11,637
500013,2025-02-01,5,0,0,5
500013,2025-03-01,8,1,0,9
500013,2025-06-01,3,2,0,5
500013,2025-08-01,7,3,0,10
500013,2025-09-01,6,1,0,7
500013,2025-11-01,5,1,0,6
500013,2025-12-01,14,2,4,20
500015,2025-04-01,3,2,0,5
500015,2025-05-01,1,0,0,1
500015,2025-06-01,4,1,2,7
500015,2025-07-01,1,0,0,1
500015,2025-08-01,4,2,0,6
500015,2025-09-01,1,0,0,1
500015,2025-11-01,2,0,0,2
500015,2025-12-01,0,1,0,1
500016,2025-02-01,2,1,0,3
500016,2025-03-01,1,0,0,1
500016,2025-04-01,2,0,0,2
500016,2025-06-01,1,0,0,1
500016,2025-07-01,3,0,0,3
500016,2025-11-01,0,1,0,1
500017,2025-01-01,4,0,0,4
500017,2025-02-01,2,0,0,2
500017,2025-05-01,1,0,0,1
500017,2025-06-01,5,1,0,6
500017,2025-08-01,4,2,0,6
500017,2025-09-01,2,0,0,2
500017,2025-10-01,3,1,0,4
500017,2025-11-01,2,0,0,2
500018,2025-04-01,4,2,0,6
500018,2025-10-01,23,3,0,26
500020,2025-03-01,4,3,0,7
500020,2025-07-01,9,0,0,9
500020,2025-08-01,3,0,0,3
500020,2025-10-01,6,0,0,6
500020,2025-12-01,6,0,0,6
500023,2025-01-01,12,4,0,16
500023,2025-05-01,17,3,0,20
500023,2025-06-01,7,0,0,7
500023,2025-08-01,14,2,0,16
500023,2025-11-01,11,0,0,11
500024,2025-02-01,5,2,1,8
500024,2025-03-01,3,0,0,3
500024,2025-05-01,3,4,0,7
500024,2025-06-01,3,0,1,4
500024,2025-10-01,10,2,1,13
500025,2025-01-01,1,2,0,3
500025,2025-03-01,2,0,0,2
500026,2025-02-01,4,0,0,4
500026,2025-03-01,4,0,0,4
500026,2025-07-01,1,0,0,1
500026,2025-08-01,5,0,2,7
500027,2025-05-01,1,2,0,3
500027,2025-08-01,1,0,0,1
500027,2025-09-01,1,0,0,1
500027,2025-10-01,3,1,0,4
500027,2025-12-01,2,0,0,2
500028,2025-01-01,308,179,11,498
500028,2025-02-01,1,0,1,2
500028,2025-03-01,4,2,0,6
500028,2025-04-01,13,7,1,21
500028,2025-05-01,11,2,3,16
500028,2025-06-01,4,1,0,5
500028,2025-11-01,11,2,0,13
500028,2025-12-01,7,2,2,11
500029,2025-01-01,98,51,14,163
500029,2025-02-01,0,0,3,3
500029,2025-03-01,3,0,0,3
500029,2025-05-01,2,0,1,3
500029,2025-07-01,1,0,0,1
500029,2025-08-01,3,0,0,3
500029,2025-09-01,0,1,0,1
500029,2025-11-01,1,0,1,2
500029,2025-12-01,3,0,0,3
500031,2025-04-01,1,2,0,3
500031,2025-07-01,0,1,0,1
500032,2025-01-01,92,53,20,165
500033,2025-01-01,1,0,0,1
500033,2025-02-01,2,1,0,3
500033,2025-09-01,0,1,1,2
500033,2025-10-01,1,1,0,2
500033,2025-11-01,1,0,1,2
500034,2025-01-01,5,2,3,10
500034,2025-03-01,7,0,0,7
500034,2025-04-01,5,0,0,5
500034,2025-05-01,3,2,0,5
500034,2025-06-01,1,0,1,2
500034,2025-07-01,0,0,3,3
500034,2025-08-01,2,0,0,2
500034,2025-10-01,5,1,3,9
500034,2025-11-01,2,0,0,2
500034,2025-12-01,3,0,0,3
500036,2025-02-01,4,3,0,7
500036,2025-04-01,6,4,0,10
500036,2025-10-01,6,0,3,9
500036,2025-12-01,8,3,0,11
500038,2025-02-01,1,0,0,1
500038,2025-03-01,2,0,0,2
500038,2025-10-01,1,0,0,1
500038,2025-12-01,1,0,0,1
500040,2025-01-01,4,0,0,4
500040,2025-03-01,1,0,0,1
500040,2025-04-01,8,1,0,9
500040,2025-05-01,1,0,0,1
500040,2025-06-01,1,0,0,1
500040,2025-07-01,3,1,0,4
500040,2025-08-01,2,0,0,2
500040,2025-09-01,3,0,0,3
500040,2025-10-01,1,0,0,1
500042,2025-02-01,1,0,0,1
500042,2025-04-01,1,0,0,1
500042,2025-09-01,3,0,0,3
500042,2025-11-01,1,0,0,1
500042,2025-12-01,4,1,0,5
500044,2025-02-01,1,0,0,1
500044,2025-05-01,1,0,0,1
500044,2025-06-01,3,0,0,3
500044,2025-07-01,1,0,0,1
500044,2025-08-01,3,2,0,5
500045,2025-01-01,4,1,0,5
500045,2025-02-01,6,3,0,9
500045,2025-05-01,7,0,0,7
500045,2025-06-01,3,0,0,3
500045,2025-07-01,1,1,0,2
500045,2025-08-01,0,1,0,1
500045,2025-09-01,8,1,0,9
500045,2025-10-01,2,1,0,3
500045,2025-11-01,2,0,0,2
500049,2025-01-01,1,1,0,2
500049,2025-03-01,5,1,0,6
500049,2025-04-01,0,1,0,1
500049,2025-05-01,2,0,0,2
500049,2025-09-01,0,2,0,2
500049,2025-12-01,2,1,0,3
500050,2025-02-01,2,0,0,2
500050,2025-03-01,1,0,0,1
500050,2025-11-01,1,0,0,1
500053,2025-01-01,25,11,0,36
500053,2025-03-01,18,4,0,22
500053,2025-08-01,31,7,0,38
500053,2025-09-01,3,2,0,5
500053,2025-12-01,18,1,1,20
500054,2025-03-01,2,0,0,2
500054,2025-05-01,1,0,0,1
500054,2025-10-01,1,0,0,1
500054,2025-11-01,2,0,0,2
500055,2025-09-01,1,0,0,1
500056,2025-03-01,2,3,0,5
500056,2025-04-01,6,1,0,7
500056,2025-05-01,0,2,0,2
500056,2025-06-01,0,1,0,1
500056,2025-08-01,3,1,0,4
500056,2025-09-01,1,0,0,1
500056,2025-11-01,4,1,0,5
500057,2025-05-01,3,0,0,3
500057,2025-06-01,1,1,0,2
500057,2025-12-01,0,0,1,1
500058,2025-01-01,1,1,0,2
500058,2025-05-01,1,0,0,1
500058,2025-08-01,4,1,0,5
500058,2025-10-01,4,1,0,5
500059,2025-01-01,160,22,10,192
500059,2025-02-01,10,3,0,13
500059,2025-03-01,9,2,0,11
500059,2025-05-01,13,5,0,18
500059,2025-06-01,11,1,0,12
500059,2025-08-01,5,0,0,5
500059,2025-09-01,6,1,0,7
500059,2025-10-01,24,1,0,25
500059,2025-11-01,6,0,2,8
500061,2025-04-01,4,0,0,4
500061,2025-07-01,2,1,0,3
500061,2025-09-01,3,0,0,3
500061,2025-12-01,1,1,0,2
500062,2025-01-01,4,1,0,5
500062,2025-02-01,1,0,0,1
500062,2025-03-01,5,0,0,5
500062,2025-04-01,15,3,0,18
500062,2025-09-01,4,5,0,9
500062,2025-10-01,4,1,0,5
500064,2025-01-01,17,4,0,21
500064,2025-03-01,17,3,0,20
500064,2025-04-01,8,0,0,8
500064,2025-06-01,2,2,0,4
500064,2025-09-01,21,4,0,25
500064,2025-10-01,1,0,0,1
500065,2025-04-01,9,2,0,11
500065,2025-05-01,1,1,0,2
500065,2025-07-01,1,0,0,1
500065,2025-08-01,4,1,0,5
500065,2025-11-01,2,0,0,2
500065,2025-12-01,6,0,0,6
500065,2026-01-01,1,0,0,1
