pincode,forecast_month,predicted_bio_load,predicted_kits_required,overload_probability,early_warning
500001,2026-02,4,1,0.8,NO
500002,2026-02,6,1,1.2,NO
500003,2026-02,2,1,0.4,NO
500004,2026-02,9,1,1.8,NO
500005,2026-02,5,1,1.0,NO
500006,2026-02,15,1,3.0,NO
500007,2026-02,1,1,0.2,NO
500008,2026-02,18,1,3.6,NO
500009,2026-02,3,1,0.6,NO
500010,2026-02,1,1,0.2,NO
500011,2026-02,10,1,2.0,NO
500012,2026-02,4,1,0.8,NO
500013,2026-02,24,1,4.8,NO
500015,2026-02,1,1,0.2,NO
500016,2026-02,1,1,0.2,NO
500017,2026-02,2,1,0.4,NO
500018,2026-02,16,1,3.2,NO
500020,2026-02,7,1,1.4,NO
500023,2026-02,12,1,2.4,NO
500024,2026-02,15,1,3.0,NO
500025,2026-02,2,1,0.4,NO
500026,2026-02,8,1,1.6,NO
500027,2026-02,2,1,0.4,NO
500028,2026-02,13,1,2.6,NO
500029,2026-02,3,1,0.6,NO
500031,2026-02,2,1,0.4,NO
500032,2026-02,165,4,33.0,NO
500033,2026-02,2,1,0.4,NO
500034,2026-02,1,1,0.2,NO
500036,2026-02,11,1,2.2,NO
500038,2026-02,0,1,0.0,NO
500040,2026-02,0,1,0.0,NO
500042,2026-02,5,1,1.0,NO
500044,2026-02,5,1,1.0,NO
500045,2026-02,0,1,0.0,NO
500049,2026-02,3,1,0.6,NO
500050,2026-02,0,1,0.0,NO
500053,2026-02,14,1,2.8,NO
500054,2026-02,2,1,0.4,NO
500055,2026-02,1,1,0.2,NO
500056,2026-02,5,1,1.0,NO
500057,2026-02,0,1,0.0,NO
500058,2026-02,6,1,1.2,NO
500059,2026-02,8,1,1.6,NO
500061,2026-02,1,1,0.2,NO
500062,2026-02,0,1,0.0,NO
500064,2026-02,0,1,0.0,NO
500065,2026-02,0,1,0.0,NO
500067,2026-02,10,1,2.0,NO
500072,2026-02,1,1,0.2,NO
500073,2026-02,2,1,0.4,NO
500078,2026-02,1,1,0.2,NO
500080,2026-02,2,1,0.4,NO
500081,2026-02,1,1,0.2,NO
500082,2026-02,1,1,0.2,NO
500091,2026-02,2,1,0.4,NO
500094,2026-02,4,1,0.8,NO
500095,2026-02,1,1,0.2,NO
500096,2026-02,1,1,0.2,NO
